INCIDENT_NUMBER;OFFENSE_CODE;OFFENSE_CODE_GROUP;OFFENSE_CODE_GROUP_No;OFFENSE_DESCRIPTION;DISTRICT;District_simple;District_simple_No;REPORTING_AREA;OCCURRED_ON_DATE;Hour1;Start_Night;Start_Day;Night_Day;YEAR;MONTH;DAY_OF_WEEK;WE_Workday;WE_Workday_No;HOUR;Counts_per_hour;STREET;Lat;Long;Location
I182070908;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;B2;B;2;911;03.09.2018 18:38;18:38:00;17:00:00;08:00:00;Night;2018;9;Monday;Workdays;1;18;285;ANNUNCIATION RD;42.33506218;-71.09316781;(42.33506218, -71.09316781)
I182070813;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D4;D;4;627;03.09.2018 03:00;03:00:00;17:00:00;08:00:00;Night;2018;9;Monday;Workdays;1;3;124;PETERBOROUGH ST;42.34280177;-71.1006951;(42.34280177, -71.10069510)
I182070804;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D14;D;4;756;03.09.2018 11:00;11:00:00;17:00:00;08:00:00;Day;2018;9;Monday;Workdays;1;11;193;CHAMPNEY ST;42.3524123;-71.16878833;(42.35241230, -71.16878833)
I182070706;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;C11;C;3;402;02.09.2018 23:33;23:33:00;17:00:00;08:00:00;Night;2018;9;Sunday;Weekend;2;23;231;BURT ST;42.28413536;-71.06957385;(42.28413536, -71.06957385)
I182070571;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;B2;B;2;317;02.09.2018 14:39;14:39:00;17:00:00;08:00:00;Day;2018;9;Sunday;Weekend;2;14;242;HOMESTEAD ST;42.31014403;-71.08759179;(42.31014403, -71.08759179)
I182070290;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;B2;B;2;261;31.08.2018 23:30;23:30:00;17:00:00;08:00:00;Night;2018;8;Friday;Workdays;1;23;231;BROOK AVE;42.32047753;-71.07273673;(42.32047753, -71.07273673)
I182070189;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;C11;C;3;397;01.09.2018 04:47;04:47:00;17:00:00;08:00:00;Night;2018;9;Saturday;Weekend;2;4;77;CENTRE ST;42.29126463;-71.06811401;(42.29126463, -71.06811401)
I182070141;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D4;D;4;597;31.08.2018 20:30;20:30:00;17:00:00;08:00:00;Night;2018;8;Friday;Workdays;1;20;305;COLUMBUS AVE;42.33961848;-71.0828558;(42.33961848, -71.08285580)
I182070140;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;C11;C;3;352;31.08.2018 23:52;23:52:00;17:00:00;08:00:00;Night;2018;8;Friday;Workdays;1;23;231;ARCADIA ST;42.30170996;-71.06174506;(42.30170996, -71.06174506)
I182069829;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D4;D;4;619;30.08.2018 17:16;17:16:00;17:00:00;08:00:00;Night;2018;8;Thursday;Workdays;1;17;277;SYMPHONY RD;42.34295335;-71.08833139;(42.34295335, -71.08833139)
I182069712;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D14;D;4;800;29.08.2018 22:30;22:30:00;17:00:00;08:00:00;Night;2018;8;Wednesday;Workdays;1;22;278;GARDNER ST;42.35367844;-71.12861785;(42.35367844, -71.12861785)
I182069669;521;Residential Burglary;1;BURGLARY - RESIDENTIAL - ATTEMPT;C11;C;3;361;29.08.2018 09:00;09:00:00;17:00:00;08:00:00;Day;2018;8;Wednesday;Workdays;1;9;167;MATHER ST;42.29398503;-71.06597383;(42.29398503, -71.06597383)
I182069269;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;A1;A;1;69;28.08.2018 21:00;21:00:00;17:00:00;08:00:00;Night;2018;8;Tuesday;Workdays;1;21;303;LIME ST;42.35722239;-71.0712032;(42.35722239, -71.07120320)
I182069247;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;B3;B;2;435;29.08.2018 08:21;08:21:00;17:00:00;08:00:00;Day;2018;8;Wednesday;Workdays;1;8;195;WENTWORTH ST;42.28712912;-71.07514543;(42.28712912, -71.07514543)
I182069095;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;B3;B;2;413;28.08.2018 17:52;17:52:00;17:00:00;08:00:00;Night;2018;8;Tuesday;Workdays;1;17;277;PINE RIDGE RD;42.27763432;-71.07664984;(42.27763432, -71.07664984)
I182068948;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;A1;A;1;79;28.08.2018 09:41;09:41:00;17:00:00;08:00:00;Day;2018;8;Tuesday;Workdays;1;9;167;THACHER ST;42.36531759;-71.05707791;(42.36531759, -71.05707791)
I182068911;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;C11;C;3;397;28.08.2018 07:56;07:56:00;17:00:00;08:00:00;Night;2018;8;Tuesday;Workdays;1;7;152;WELLES AVE;42.28944478;-71.06559395;(42.28944478, -71.06559395)
I182068851;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;E18;E;5;504;27.08.2018 09:00;09:00:00;17:00:00;08:00:00;Day;2018;8;Monday;Workdays;1;9;167;WYVERN ST;42.28728428;-71.11592131;(42.28728428, -71.11592131)
I182068751;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;D14;D;4;769;25.08.2018 06:00;06:00:00;17:00:00;08:00:00;Night;2018;8;Saturday;Weekend;2;6;100;GOODENOUGH ST;42.35415818;-71.15386618;(42.35415818, -71.15386618)
