INCIDENT_NUMBER;OFFENSE_CODE;OFFENSE_CODE_GROUP;OFFENSE_CODE_GROUP_No;OFFENSE_DESCRIPTION;DISTRICT;District_simple;District_simple_No;REPORTING_AREA;OCCURRED_ON_DATE;Hour1;Start_Night;Start_Day;Night_Day;YEAR;MONTH;DAY_OF_WEEK;WE_Workday;WE_Workday_No;HOUR;Counts_per_hour;STREET;Lat;Long;Location
I182070931;301;Robbery;2;ROBBERY - STREET;C6;C;3;177;03.09.2018 20:48;20:48:00;17:00:00;08:00:00;Night;2018;9;Monday;Workdays;1;20;305;MASSACHUSETTS AVE;42.33152148;-71.07085307;(42.33152148, -71.07085307)
I182070795;301;Robbery;2;ROBBERY - STREET;C11;C;3;362;02.09.2018 20:30;20:30:00;17:00:00;08:00:00;Night;2018;9;Sunday;Weekend;2;20;305;LYNDHURST ST;42.29290563;-71.06955795;(42.29290563, -71.06955795)
I182070741;301;Robbery;2;ROBBERY - STREET;D14;D;4;805;03.09.2018 03:26;03:26:00;17:00:00;08:00:00;Night;2018;9;Monday;Workdays;1;3;124;PORTSMOUTH ST;42.36053257;-71.14426332;(42.36053257, -71.14426332)
I182070621;361;Robbery;2;ROBBERY - OTHER;A7;A;1;23;02.09.2018 18:09;18:09:00;17:00:00;08:00:00;Night;2018;9;Sunday;Weekend;2;18;285;MARION ST;42.37725644;-71.03667354;(42.37725644, -71.03667354)
I182070598;311;Robbery;2;ROBBERY - COMMERCIAL;A15;A;1;60;02.09.2018 17:15;17:15:00;17:00:00;08:00:00;Night;2018;9;Sunday;Weekend;2;17;277;RUTHERFORD AVE;42.37167264;-71.06326413;(42.37167264, -71.06326413)
I182070549;301;Robbery;2;ROBBERY - STREET;B2;B;2;282;02.09.2018 07:00;07:00:00;17:00:00;08:00:00;Night;2018;9;Sunday;Weekend;2;7;152;WARREN ST;42.32823419;-71.08328981;(42.32823419, -71.08328981)
I182070472;301;Robbery;2;ROBBERY - STREET;A1;A;1;92;02.09.2018 03:27;03:27:00;17:00:00;08:00:00;Night;2018;9;Sunday;Weekend;2;3;124;COURT ST;42.359254;-71.059477;(42.35925400, -71.05947700)
I182070342;381;Robbery;2;ROBBERY - CAR JACKING;E18;E;5;490;01.09.2018 17:05;17:05:00;17:00:00;08:00:00;Night;2018;9;Saturday;Weekend;2;17;277;CUMMINS HWY;42.27645319;-71.11297971;(42.27645319, -71.11297971)
I182070309;361;Robbery;2;ROBBERY - OTHER;D4;D;4;151;01.09.2018 15:00;15:00:00;17:00:00;08:00:00;Day;2018;9;Saturday;Weekend;2;15;241;BERKELEY ST;42.3460551;-71.07050669;(42.34605510, -71.07050669)
I182070168;301;Robbery;2;ROBBERY - STREET;A1;A;1;119;01.09.2018 01:16;01:16:00;17:00:00;08:00:00;Night;2018;9;Saturday;Weekend;2;1;171;PARK ST;42.35650174;-71.0619996;(42.35650174, -71.06199960)
I182070084;361;Robbery;2;ROBBERY - OTHER;B2;B;2;318;31.08.2018 19:05;19:05:00;17:00:00;08:00:00;Night;2018;8;Friday;Workdays;1;19;274;HUMBOLDT AVE;42.31024899;-71.0918393;(42.31024899, -71.09183930)
I182069988;311;Robbery;2;ROBBERY - COMMERCIAL;C11;C;3;341;30.08.2018 23:45;23:45:00;17:00:00;08:00:00;Night;2018;8;Thursday;Workdays;1;23;231;BOWDOIN ST;42.30609356;-71.0671857;(42.30609356, -71.06718570)
I182069846;301;Robbery;2;ROBBERY - STREET;A1;A;1;111;31.08.2018 02:15;02:15:00;17:00:00;08:00:00;Night;2018;8;Friday;Workdays;1;2;181;WEST ST;42.35459106;-71.0621901;(42.35459106, -71.06219010)
I182069811;311;Robbery;2;ROBBERY - COMMERCIAL;C11;C;3;333;30.08.2018 21:59;21:59:00;17:00:00;08:00:00;Night;2018;8;Thursday;Workdays;1;21;303;COLUMBIA RD;42.31069804;-71.07119068;(42.31069804, -71.07119068)
I182069796;311;Robbery;2;ROBBERY - COMMERCIAL;E18;E;5;525;30.08.2018 20:14;20:14:00;17:00:00;08:00:00;Night;2018;8;Thursday;Workdays;1;20;305;NEPONSET VALLEY PKWY;42.23603929;-71.12718154;(42.23603929, -71.12718154)
I182069693;301;Robbery;2;ROBBERY - STREET;A1;A;1;74;30.08.2018 15:24;15:24:00;17:00:00;08:00:00;Day;2018;8;Thursday;Workdays;1;15;241;BULFINCH PL;42.36219081;-71.06223802;(42.36219081, -71.06223802)
I182069687;301;Robbery;2;ROBBERY - STREET;B2;B;2;278;28.08.2018 12:00;12:00:00;17:00:00;08:00:00;Day;2018;8;Tuesday;Workdays;1;12;258;HARRISON AVE;42.33153805;-71.08015661;(42.33153805, -71.08015661)
I182069534;311;Robbery;2;ROBBERY - COMMERCIAL;A15;A;1;59;30.08.2018 03:52;03:52:00;17:00:00;08:00:00;Night;2018;8;Thursday;Workdays;1;3;124;MAIN ST;42.37515337;-71.06409893;(42.37515337, -71.06409893)
